Local Authority,School Name,SeedCode,School Type,Roll,Number registered for FSM,Estimated Number registered for FSM under National eligibility only,Pupils Present on survey day,Pupils Present and who took a meal (free or paid for),Pupils Present and Registered for FSM,Pupils Present and who took a FSM,Notes
Glasgow City,St Charles' Primary School,8421528,Primary,208,72,72,192,125,67,59,0
Glasgow City,St Conval's Primary School,8422125,Primary,229,77,77,215,60,75,55,0
Glasgow City,St Cuthbert's Primary School,8422222,Primary,88,53,53,86,73,53,53,0
Glasgow City,St Denis' Primary School,8422524,Primary,243,88,88,232,160,85,78,0
Glasgow City,John Paul II Primary School,8422621,Primary,236,100,100,224,140,73,73,0
Glasgow City,St Fillan's Primary School & Nursery Class,8422729,Primary,481,56,56,452,220,56,52,0
Glasgow City,St Francis' Primary School & Nursery Class,8422826,Primary,312,143,143,269,179,123,103,0
Glasgow City,St George's Primary School,8422923,Primary,204,78,78,191,189,78,57,0
Glasgow City,St Joseph's Primary School,8423725,Primary,194,92,92,177,148,86,73,0
Glasgow City,Our Lady of Peace Primary School,8423822,Primary,227,88,88,211,131,76,74,0
Glasgow City,St Marnock's Primary School,8424721,Primary,250,82,82,233,115,80,65,0
Glasgow City,St Martha's Primary School,8424829,Primary,218,99,99,207,158,91,75,0
Glasgow City,St Mary's Primary School,8425124,Primary,160,98,98,144,113,92,92,0
Glasgow City,St Michael's Primary School,8425221,Primary,202,121,121,183,115,109,98,0
Glasgow City,St Mirin's Primary School,8425329,Primary,280,58,58,275,108,43,43,0
Glasgow City,St Maria Goretti Primary School,8425426,Primary,233,118,118,210,210,103,103,0
Glasgow City,St Monica's Primary School,8425523,Primary,328,76,76,307,158,73,73,0
Glasgow City,St Mungo's Primary School & Nursery Class,8425620,Primary,210,90,90,197,147,77,77,0
Glasgow City,St Ninian's Primary School,8425728,Primary,231,91,91,216,121,85,67,0
Glasgow City,St Patrick's Primary School,8425825,Primary,173,85,85,165,108,82,76,0
Glasgow City,St Paul's (Shettleston) Primary School & Nursery Class,8425922,Primary,349,106,106,310,234,106,100,0
Glasgow City,St Paul's (Whiteinch) Primary School,8426023,Primary,287,163,163,262,184,130,130,0
Glasgow City,St Philomena's Primary School,8426422,Primary,174,69,69,162,119,61,52,0
Glasgow City,St Roch's Primary School,8426821,Primary,301,125,125,283,181,117,117,0
Glasgow City,St Rose Of Lima Primary School,8426929,Primary,386,164,164,367,287,154,154,0
Glasgow City,St Saviour's Primary School,8427127,Primary,192,87,87,174,121,71,71,0
Glasgow City,St Clare's Primary School,8427429,Primary,290,173,173,270,266,165,150,0
Glasgow City,St Stephen's Primary School,8427623,Primary,129,84,84,127,102,82,82,0
Glasgow City,St Teresa's Primary School,8427720,Primary,185,100,100,181,106,100,63,0
Glasgow City,St Thomas' Primary School,8427925,Primary,326,110,110,302,175,104,76,0
Glasgow City,St Timothy's Primary School & Nursery Class,8428026,Primary,412,138,138,379,212,130,120,0
Glasgow City,St Vincent's Primary School,8428123,Primary,336,107,107,312,189,104,104,0
Glasgow City,Sandwood Primary School,8428220,Primary,218,100,100,198,138,86,69,0
Glasgow City,Saracen Primary School,8428328,Primary,195,135,135,181,174,133,127,0
Glasgow City,Scotstoun Primary School,8428522,Primary,400,75,75,383,128,74,74,0
Glasgow City,Shawlands Primary School,8428824,Primary,392,69,69,382,138,65,65,0
Glasgow City,Sunnyside Primary School,8429820,Primary,138,54,54,131,104,47,47,0
Glasgow City,Thorntree Primary School,8430225,Primary,379,175,175,375,244,175,147,0
Glasgow City,Thornwood Primary School & Nursery Class,8430322,Primary,155,65,65,142,75,58,41,0
Glasgow City,Toryglen Primary School,8430624,Primary,82,45,45,79,61,40,40,0
Glasgow City,Toryglen Autism Unit,8430640,Special,24,6,6,23,10,5,5,0
Glasgow City,Wellshot Primary School,8430926,Primary,305,125,125,250,127,125,75,0
Glasgow City,Whiteinch Primary School,8431027,Primary,139,60,60,129,75,56,51,0
Glasgow City,Miller Primary School,8431221,Primary,189,116,116,168,138,116,89,0
Glasgow City,Yoker Primary School,8431426,Primary,120,73,73,114,79,69,59,0
Glasgow City,Springburn Academy,8431639,Secondary,897,317,317,752,286,266,162,0
Glasgow City,All Saints Secondary School,8431930,Secondary,921,309,309,740,330,254,195,0
Glasgow City,Bellahouston Academy,8432031,Secondary,876,219,219,788,181,196,162,0
Glasgow City,St Paul's High School,8432139,Secondary,818,281,281,719,490,218,210,0
Glasgow City,Cleveden Secondary School,8432236,Secondary,740,231,231,687,272,200,124,0
Glasgow City,Glasgow Gaelic School,8432627,Primary,458,35,35,394,106,32,20,0
Glasgow City,Glasgow Gaelic School,8432627,Secondary,224,17,17,192,53,17,11,0
Glasgow City,Eastbank Academy,8433232,Secondary,871,278,278,708,293,205,81,0
Glasgow City,Govan High School,8433836,Secondary,355,134,134,286,65,108,40,0
Glasgow City,Castlemilk High School,8434034,Secondary,411,133,133,381,158,121,88,0
Glasgow City,Hillhead High School,8434239,Secondary,884,191,191,843,421,116,116,0
Glasgow City,Hillpark Secondary School,8434336,Secondary,967,253,253,884,377,214,209,0
Glasgow City,Holyrood Secondary School,8434530,Secondary,2075,484,484,1846,609,416,374,0
Glasgow City,Hyndland Secondary School,8434638,Secondary,1005,128,128,958,290,119,78,0
Glasgow City,King's Park Secondary School,8435138,Secondary,804,153,153,653,249,129,82,0
Glasgow City,Knightswood Secondary School,8435634,Secondary,1360,372,372,1215,472,321,194,0
Glasgow City,Lochend Community High School,8435731,Secondary,510,217,217,409,162,140,140,0
Glasgow City,Lourdes Secondary School,8435839,Secondary,1095,233,233,977,80,189,30,0
Glasgow City,Notre Dame High School,8436134,Secondary,702,212,212,637,257,195,132,0
Glasgow City,Rosshall Academy,8436339,Secondary,1167,247,247,1065,436,193,193,0
Glasgow City,Shawlands Academy,8436932,Secondary,1091,249,249,1015,292,149,149,0
Glasgow City,Smithycroft Secondary School,8437130,Secondary,579,201,201,488,141,174,88,0
Glasgow City,St Andrew's Secondary School,8437238,Secondary,1597,487,487,1478,579,433,204,0
Glasgow City,St Margaret Mary's Secondary School,8438331,Secondary,418,162,162,355,215,160,144,0
Glasgow City,St Mungo's Academy,8438439,Secondary,812,299,299,738,307,248,194,0
Glasgow City,St Roch's Secondary School,8438730,Secondary,527,199,199,469,234,177,118,0
Glasgow City,St Thomas Aquinas Secondary School,8438838,Secondary,939,272,272,891,302,253,150,0
Glasgow City,Whitehill Secondary School,8439532,Secondary,424,152,152,339,74,121,63,0
Glasgow City,Cartvale Secondary School,8440042,Special,44,16,16,24,10,10,6,0
Glasgow City,Drummore Primary School,8440344,Special,92,64,64,92,72,64,64,0
Glasgow City,Eastmuir Primary School,8440441,Special,53,32,32,51,40,30,30,0
Glasgow City,Greenview Learning Centre,8440549,Special,36,36,36,36,36,36,36,0
Glasgow City,Hollybrook Academy,8440948,Special,133,48,48,123,108,44,44,0
Glasgow City,Howford Primary School,8441049,Special,82,35,35,72,68,31,31,0
Glasgow City,Kelbourne Park Primary School,8441146,Special,54,54,54,43,43,43,43,0
Glasgow City,Hazelwood School,8441243,Special,52,52,52,45,37,45,37,0
Glasgow City,Parkhill Secondary School,8441340,Special,101,57,57,80,65,53,53,0
Glasgow City,Kirkriggs Primary School,8441448,Special,64,33,33,59,43,29,29,0
Glasgow City,Cardinal Winning Secondary School,8442347,Special,131,65,65,120,100,65,65,0
Glasgow City,St Kevin's Primary School,8442746,Special,55,27,27,51,40,24,24,0
Glasgow City,St Oswald's Secondary School,8442843,Special,110,43,43,91,57,37,36,0
Glasgow City,Hampden Primary School,8443440,Special,52,52,52,44,44,44,44,0
Glasgow City,Linburn Academy,8443645,Special,41,11,11,41,41,11,11,0
Glasgow City,Newhills Secondary School,8443742,Special,43,16,16,38,37,15,15,0
Glasgow City,Glendale Primary School,8444323,Primary,287,98,98,263,183,87,87,0
Glasgow City,Sandaig Primary School,8445028,Primary,230,97,97,202,127,97,55,0
Glasgow City,Milton School,8446547,Special,45,45,45,36,32,36,32,0
Glasgow City,Darnley Primary School,8446628,Primary,303,96,96,287,157,75,75,0
Glasgow City,St Blane's Primary School,8446725,Primary,250,61,61,239,128,51,51,0
Glasgow City,Parkview Primary School,8446822,Primary,186,108,108,178,178,104,104,0
Glasgow City,Langlands Primary School,8447241,Special,64,64,64,53,53,53,53,0
Glasgow City,Tinto Primary School,8448426,Primary,434,122,122,408,116,111,97,0
Glasgow City,Abercorn Secondary School,8448647,Special,142,54,54,134,112,54,51,0
Glasgow City,St Angela's Primary School & Nursery Class,8448825,Primary,400,47,47,376,164,43,43,0
Glasgow City,Langfaulds Primary School,8449325,Primary,96,66,66,85,57,55,48,0
Glasgow City,St Francis' Of Assisi Primary School,8449929,Primary,218,32,32,213,85,30,30,0
Glasgow City,Middlefield School,8452741,Special,34,34,34,34,34,34,34,0
Glasgow City,Caledonia Primary School,8455023,Primary,206,69,69,192,114,60,55,0
Glasgow City,St Bridget's Primary School & Nursery Class,8455120,Primary,377,41,41,341,135,33,33,0
Glasgow City,Carmunnock Primary School,8455325,Primary,144,7,7,135,63,7,7,0
Glasgow City,Carmyle Primary School & Nursery Class,8455422,Primary,195,51,51,169,75,51,30,0
Glasgow City,St Joachim's Primary School,8455627,Primary,111,25,25,108,34,12,9,0
Glasgow City,Garrowhill Primary School,8456321,Primary,367,42,42,364,119,26,26,0
Glasgow City,Mount Vernon Primary School,8456526,Primary,297,26,26,249,156,26,20,0
Glasgow City,Swinton Primary School,8457824,Primary,233,30,30,220,81,29,27,0
Glasgow City,Bannerman High School,8458138,Secondary,1350,169,169,1220,304,148,83,0
Glasgow City,Ashcraig Secondary School,8458448,Special,66,18,18,62,50,18,18,0
Glasgow City,John Paul Academy,8458731,Secondary,818,273,273,703,337,234,163,0
Glasgow City,Broomlea Primary School,8459045,Special,40,40,40,39,39,39,39,0
Glasgow City,Croftcroighn Primary School,8459142,Special,58,58,58,55,55,55,55,0
Glasgow City,Caldercuilt Primary School,8459622,Primary,284,54,54,272,141,48,41,0
Glasgow City,Drumchapel High School,8459932,Secondary,438,170,170,378,193,139,94,0
